file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
external-benchmark-gate.lisp	REUSE	§4.14	orchestrator.cli	22	no	cl-ppcre,ironclad,uiop	orchestrator.contracts,orchestrator.self-model	defparameter:8,defun:14
fluid-gate.lisp	REUSE	L5	orchestrator.cli	6	no	jonathan,uiop	orchestrator.contracts,orchestrator.fluid,orchestrator.paths,orchestrator.self-model	defun:5,defvar:1
gates-runner.lisp	REUSE	L10	orchestrator.cli	2	no	-	orchestrator.safe-read,orchestrator.trace	defun:2
generation-gate.lisp	REUSE	§4.12	orchestrator.cli	2	no	uiop	orchestrator.citation-authority,orchestrator.contracts,orchestrator.generation,orchestrator.knowledge-packs,orchestrator.self-model	defparameter:1,defun:1
golden-gate.lisp	REUSE	§4.14	orchestrator.cli	2	no	uiop	orchestrator.contracts,orchestrator.paths,orchestrator.self-model	defun:2
graph-import.lisp	REUSE	§4.5	orchestrator.cli	16	no	jonathan,uiop	orchestrator.decisions,orchestrator.graph,orchestrator.graph-reason,orchestrator.memory,orchestrator.paths,orchestrator.references,orchestrator.self,orchestrator.self-history	defun:16
inference-gate.lisp	REUSE	§4.3	orchestrator.cli	1	no	uiop	orchestrator.contracts,orchestrator.graph,orchestrator.graph-reason,orchestrator.inference,orchestrator.metaeval,orchestrator.self-model	defun:1
ingestion-commands.lisp	EXTEND	§4.1	orchestrator.cli	18	no	cl-ppcre,jonathan,uiop	orchestrator.engine.sbcl,orchestrator.gov-source,orchestrator.gr-syntagma,orchestrator.ingestion.daemon,orchestrator.paths,orchestrator.reasoning,orchestrator.review,orchestrator.spec	defun:18
iq-gate.lisp	REUSE	§4.3	orchestrator.cli	9	no	-	orchestrator.contracts,orchestrator.inference,orchestrator.knowledge,orchestrator.self-model	defun:8,defvar:1
jurisprudence-judge.lisp	REUSE	§4.9	orchestrator.cli	5	no	-	orchestrator.graph,orchestrator.hash-authority	defun:5
legal-eval.lisp	DEFER_PRIVATE	private	orchestrator.cli	6	no	-	orchestrator.casegrammar,orchestrator.deontic,orchestrator.knowledge-packs,orchestrator.subsumption	defparameter:1,defun:5
log.lisp	REUSE	—	orchestrator.cli	3	no	-	UNKNOWN-none-qualified	defmacro:3
