resolver v4 sha256:24809ecd48b410ce656229cda4a87191256f25642f164844d465b1a581a925f9
manifest sha256:29cf2b0ce1af2c9b08711d4aca0a7177f41fcb77d40d68904f170fa6abd41c7e
registry sha256:fffdc910bf95986a549244388a6914211034a5478daf0dea1860b6be7a51f404
lane Φ1A-L1 · cluster-roots ['source']
dossier experiment/phase1a/source.sexp sha256:dd3ce7cc6bd973d284dd00adb417afa3e1030bcdca9da32997b435fb4c5e8aef
παραπομπές: 286 · λύθηκαν: 3 · ΠΡΟΒΛΗΜΑΤΙΚΕΣ: 283
  ✗ [experiment/phase1a/source.sexp] self-constitution.lisp:105-115 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] constitutional-gate.lisp:44-45 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] deterministic-time.lisp:93-101 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] deterministic-time.lisp:155-158 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] cognition.lisp:65-66 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] cognition.lisp:85-87 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] write-authority.lisp:29-30 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] config.lisp:44 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] document-fetch.lisp:71-79 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] journal.lisp:67 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] version-graph.lisp:471-497 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] memory.lisp:110 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] journal.lisp:61-86 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] canonical-representation.lisp:162-192 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] canonical-representation.lisp:141-160 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] archive-authority.lisp:70-94 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] adoption-decision.lisp:90-95 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:1360-1370 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:1399-1425 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:349-355 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] amendment-extractor.lisp:189-190 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] authority-proof-bundle.lisp:507-511 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] version-graph.lisp:288-300 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-audit-system.lisp:233-236 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] jws-authority.lisp:394 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-audit-system.lisp:271-283 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] review-queue.lisp:100-117 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-audit-system.lisp:780-793 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] government-source.lisp:487-502 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:904-964 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] mcp-server.lisp:102-107 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] validation-authority.lisp:67 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] proposals.lisp:129-140 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] consolidation-proof.lisp:113-123 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] canonical-uris.lisp:58-63 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-provenance.lisp:26-33 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] canonical-uris.lisp:57-63 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-provenance.lisp:35-39 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] component-scan.lisp:26-28 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] component-scan.lisp:139-149 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] component-scan.lisp:45-56 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-intelligence.lisp:75-93 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] paths.lisp:311-323 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] http-server.lisp:51-54 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] circuit-breaker.lisp:23-33 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] memory.lisp:258-272 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] memory.lisp:48-50 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] consolidation-bridge.lisp:258-270 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-diff.lisp:36-44 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-search.lisp:70-78 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] proof-carrying.lisp:88-99 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] pdf-authority.lisp:139-174 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] anomaly-detection.lisp:24-31 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] ast-gate.lisp:40-47 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] blockchain-authority.lisp:640-641 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] blockchain-authority.lisp:912-944 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-ast.lisp:1904-1918 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-ast.lisp:427-445 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] blockchain-authority.lisp:953-971 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-ast.lisp:2138-2148 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] blockchain-authority.lisp:259-269 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] jws-authority.lisp:711 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] blockchain-authority.lisp:710 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-deontic.lisp:14-18 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] legal-conflict-resolution.lisp:69-112 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] corpus-eu-links.lisp:113-121 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
  ✗ [experiment/phase1a/source.sexp] government-source.lisp:239-250 — ΑΓΝΩΣΤΗ ΔΙΑΔΡΟΜΗ στο manifest
